18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Benzal	<font size=5>\nBenzal\n</font><br>\n亚苄\n
Benzalaniline	<font size=5>\nBenzalaniline\n</font><br>\n苄叉苯胺\n
Benzal Chloride	<font size=5>\nBenzal Chloride\n</font><br>\n苄叉二氯\n
Benzaldehyde	<font size=5>\nBenzaldehyde\n</font><br>\n苯醛\n
Benzamide	<font size=5>\nBenzamide\n</font><br>\n苯酰胺\n
Benzanilide	<font size=5>\nBenzanilide\n</font><br>\n苯酰替苯胺\n
Benzanthracene	<font size=5>\nBenzanthracene\n</font><br>\n苯并蒽\n
Benzanthrone	<font size=5>\nBenzanthrone\n</font><br>\n苯并蒽酮\n
Benzene	<font size=5>\nBenzene\n</font><br>\n苯\n
Benzene Complex	<font size=5>\nBenzene Complex\n</font><br>\n苯络合物\n
Benzene Diazonium Chloride	<font size=5>\nBenzene Diazonium Chloride\n</font><br>\n氯化重氮苯\n
Benzene Hexachloride	<font size=5>\nBenzene Hexachloride\n</font><br>\n六六六\n
Benzene Nucleus	<font size=5>\nBenzene Nucleus\n</font><br>\n苯核\n
Benzene Ring	<font size=5>\nBenzene Ring\n</font><br>\n苯环\n
Benzene Series	<font size=5>\nBenzene Series\n</font><br>\n苯系\n
Benzene Sulfinic Acid	<font size=5>\nBenzene Sulfinic Acid\n</font><br>\n苯亚磺酸\n
Benzene Sulfonic Acid	<font size=5>\nBenzene Sulfonic Acid\n</font><br>\n苯磺酸\n
Benzhydrol	<font size=5>\nBenzhydrol\n</font><br>\n二苯基甲醇\n
Benzidine	<font size=5>\nBenzidine\n</font><br>\n联苯胺\n
Benzidine Rearrangement	<font size=5>\nBenzidine Rearrangement\n</font><br>\n联苯胺重排\n
Benzidine Sulfate	<font size=5>\nBenzidine Sulfate\n</font><br>\n硫酸联苯胺\n
Benzidine Yellow	<font size=5>\nBenzidine Yellow\n</font><br>\n联苯胺黄\n
Benzil	<font size=5>\nBenzil\n</font><br>\n苯偶酰\n
Benzilic Acid	<font size=5>\nBenzilic Acid\n</font><br>\n二苯乙醇酸\n
Benzine	<font size=5>\nBenzine\n</font><br>\n轻质汽油\n
Benzoate	<font size=5>\nBenzoate\n</font><br>\n苯甲酸盐\n
Benzoazurine	<font size=5>\nBenzoazurine\n</font><br>\n苯并天青精\n
Benzoic Acid	<font size=5>\nBenzoic Acid\n</font><br>\n苯酸\n
Benzoic Anhydride	<font size=5>\nBenzoic Anhydride\n</font><br>\n苯酸酐\n
Benzoin	<font size=5>\nBenzoin\n</font><br>\n苯偶姻\n
Benzoin Condensation	<font size=5>\nBenzoin Condensation\n</font><br>\n苯偶姻缩合\n
Benzoin Gum	<font size=5>\nBenzoin Gum\n</font><br>\n安息香胶\n
Benzoinoxime	<font size=5>\nBenzoinoxime\n</font><br>\n苯偶姻肟\n
Benzol	<font size=5>\nBenzol\n</font><br>\n苯\n
Benzole	<font size=5>\nBenzole\n</font><br>\n苯\n
Benzonaphthol	<font size=5>\nBenzonaphthol\n</font><br>\n苯酰萘酚\n
Benzonitrile	<font size=5>\nBenzonitrile\n</font><br>\n苄腈\n
Benzophenone	<font size=5>\nBenzophenone\n</font><br>\n二苯甲酮\n
Benzopurpurin	<font size=5>\nBenzopurpurin\n</font><br>\n苯紫红素\n
Benzoquinone	<font size=5>\nBenzoquinone\n</font><br>\n苯醌\n
Benzotrichloride	<font size=5>\nBenzotrichloride\n</font><br>\n苄川三氯\n
Benzotrifluoride	<font size=5>\nBenzotrifluoride\n</font><br>\n三氟甲苯\n
Benzoylaminoacetic Acid	<font size=5>\nBenzoylaminoacetic Acid\n</font><br>\n马尿酸\n
Benzoylation	<font size=5>\nBenzoylation\n</font><br>\n苯酰化酌\n
Benzoyl Chloride	<font size=5>\nBenzoyl Chloride\n</font><br>\n苯酰氯\n
Benzoylglycine	<font size=5>\nBenzoylglycine\n</font><br>\n苯甲酰基甘氨酸\n
Benzoyl Peroxide	<font size=5>\nBenzoyl Peroxide\n</font><br>\n过氧化苯甲酰\n
Benzyl Acetate	<font size=5>\nBenzyl Acetate\n</font><br>\n醋酸苄酯\n
Benzyl Alcohol	<font size=5>\nBenzyl Alcohol\n</font><br>\n苄醇\n
Benzylamine	<font size=5>\nBenzylamine\n</font><br>\n苄胺\n
Benzylaniline	<font size=5>\nBenzylaniline\n</font><br>\n苄基苯胺\n
Benzylation	<font size=5>\nBenzylation\n</font><br>\n苄化\n
Benzyl Benzoate	<font size=5>\nBenzyl Benzoate\n</font><br>\n苯酸苄酯\n
Benzyl Bromide	<font size=5>\nBenzyl Bromide\n</font><br>\n苄基溴\n
Benzylcarbinol	<font size=5>\nBenzylcarbinol\n</font><br>\n苯基乙醇\n
Benzyl Cellulose	<font size=5>\nBenzyl Cellulose\n</font><br>\n苄基纤维素\n
Benzyl Chloride	<font size=5>\nBenzyl Chloride\n</font><br>\n苄基氯\n
Benzyl Cinnamate	<font size=5>\nBenzyl Cinnamate\n</font><br>\n肉桂酸苄酯\n
Benzyl Formate	<font size=5>\nBenzyl Formate\n</font><br>\n甲酸苄酯\n
Benzylidene Acetone	<font size=5>\nBenzylidene Acetone\n</font><br>\n亚苄基丙酮\n
Benzylidene Chloride	<font size=5>\nBenzylidene Chloride\n</font><br>\n苄叉二氯\n
Benzyl Mercaptane	<font size=5>\nBenzyl Mercaptane\n</font><br>\n苄硫醇\n
Benzylpenicillin	<font size=5>\nBenzylpenicillin\n</font><br>\n苄青霉素\n
Benzyl Salicylate	<font size=5>\nBenzyl Salicylate\n</font><br>\n水杨酸苄酯\n
Benzyl Thiocyanate	<font size=5>\nBenzyl Thiocyanate\n</font><br>\n硫氰酸苄酯\n
Benzyne	<font size=5>\nBenzyne\n</font><br>\n苯炔\n
Berbamine	<font size=5>\nBerbamine\n</font><br>\n小蘖胺\n
Berberine	<font size=5>\nBerberine\n</font><br>\n小蘖碱\n
Berberine Sulfate	<font size=5>\nBerberine Sulfate\n</font><br>\n硫酸小蘖碱\n
Bergamot Oil	<font size=5>\nBergamot Oil\n</font><br>\n佛手柑油\n
Berger Agent	<font size=5>\nBerger Agent\n</font><br>\n贝格尔试药\n
Berger Mixture	<font size=5>\nBerger Mixture\n</font><br>\n贝格尔混合物\n
Bergius' Process	<font size=5>\nBergius' Process\n</font><br>\n伯吉乌斯过程\n
Bergmann Rearrangement	<font size=5>\nBergmann Rearrangement\n</font><br>\n伯格曼换位\n
Berkelium	<font size=5>\nBerkelium\n</font><br>\n锫\n
Berlin Blue	<font size=5>\nBerlin Blue\n</font><br>\n普鲁士蓝\n
Bernoulli's Theorem	<font size=5>\nBernoulli's Theorem\n</font><br>\n伯努利定理\n
Berthelot's Principle	<font size=5>\nBerthelot's Principle\n</font><br>\n贝特洛原理\n
Berthollet Salt	<font size=5>\nBerthollet Salt\n</font><br>\n贝托莱盐\n
Beryl	<font size=5>\nBeryl\n</font><br>\n绿柱石\n
Beryllate	<font size=5>\nBeryllate\n</font><br>\n铍酸盐\n
Beryllia	<font size=5>\nBeryllia\n</font><br>\n氧化铍\n
Beryllium	<font size=5>\nBeryllium\n</font><br>\n铍\n
Beryllium Acetate	<font size=5>\nBeryllium Acetate\n</font><br>\n醋酸铍\n
Beryllium Bronze	<font size=5>\nBeryllium Bronze\n</font><br>\n铍青铜\n
Beryllium Carbonate	<font size=5>\nBeryllium Carbonate\n</font><br>\n碳酸铍\n
Beryllium Chloride	<font size=5>\nBeryllium Chloride\n</font><br>\n氯化铍\n
Beryllium Fluoride	<font size=5>\nBeryllium Fluoride\n</font><br>\n氟化铍\n
Beryllium Hydroxide	<font size=5>\nBeryllium Hydroxide\n</font><br>\n氢氧化铍\n
Beryllium Metaphosphate	<font size=5>\nBeryllium Metaphosphate\n</font><br>\n偏磷酸铍\n
Beryllium Nitrate	<font size=5>\nBeryllium Nitrate\n</font><br>\n硝酸铍\n
Beryllium Nitride	<font size=5>\nBeryllium Nitride\n</font><br>\n氮化铍\n
Beryllium Oxide	<font size=5>\nBeryllium Oxide\n</font><br>\n氧化铍\n
Bessel's Differential Equation	<font size=5>\nBessel's Differential Equation\n</font><br>\n贝塞耳微分方程\n
Bessemer Converter	<font size=5>\nBessemer Converter\n</font><br>\n贝赛麦转炉\n
Beta Brass	<font size=5>\nBeta Brass\n</font><br>\n黄铜\n
Beta Decay	<font size=5>\nBeta Decay\n</font><br>\n衰变\n
Beta Endorphin	<font size=5>\nBeta Endorphin\n</font><br>\n内啡肽\n
Betaine	<font size=5>\nBetaine\n</font><br>\n甜菜碱\n
Beta Rays	<font size=5>\nBeta Rays\n</font><br>\n射线\n
Betatron	<font size=5>\nBetatron\n</font><br>\n电子回旋加速器\n
Biamperometry	<font size=5>\nBiamperometry\n</font><br>\n双安培滴定\n
Biaxial Crystal	<font size=5>\nBiaxial Crystal\n</font><br>\n双轴晶体\n
Bible Paper	<font size=5>\nBible Paper\n</font><br>\n印度纸\n
Bibliometer	<font size=5>\nBibliometer\n</font><br>\n吸水性能测定仪\n
Bibulous Paper	<font size=5>\nBibulous Paper\n</font><br>\n吸墨纸\n
Bicarbonate	<font size=5>\nBicarbonate\n</font><br>\n碳酸氢盐\n
Bichromate	<font size=5>\nBichromate\n</font><br>\n重铬酸盐\n
Bichromate Cell	<font size=5>\nBichromate Cell\n</font><br>\n重铬酸盐电池\n
Bichromated Gelatine	<font size=5>\nBichromated Gelatine\n</font><br>\n铬煤\n
Bichromate Titration	<font size=5>\nBichromate Titration\n</font><br>\n重铬酸盐滴定\n
Bicolorimeter	<font size=5>\nBicolorimeter\n</font><br>\n双色比色计\n
Bicomponent Fiber	<font size=5>\nBicomponent Fiber\n</font><br>\n双组分纤维\n
Bicyclic Compound	<font size=5>\nBicyclic Compound\n</font><br>\n二环化合物\n
Bicyclic Terpene	<font size=5>\nBicyclic Terpene\n</font><br>\n双环萜烯\n
Bidalotite	<font size=5>\nBidalotite\n</font><br>\n直闪石\n
Biformity	<font size=5>\nBiformity\n</font><br>\n二形\n
Bile Acid	<font size=5>\nBile Acid\n</font><br>\n胆汁酸\n
Biliprotein	<font size=5>\nBiliprotein\n</font><br>\n胆蛋白质\n
Bilirubin	<font size=5>\nBilirubin\n</font><br>\n胆红素\n
Biliverdin	<font size=5>\nBiliverdin\n</font><br>\n胆绿素\n
Bimetal	<font size=5>\nBimetal\n</font><br>\n双金属\n
Bimetallic Instrument	<font size=5>\nBimetallic Instrument\n</font><br>\n双金属仪器\n
Bimetallic Temperature Regulator	<font size=5>\nBimetallic Temperature Regulator\n</font><br>\n双金属温度第器\n
Bimetallic Thermometer	<font size=5>\nBimetallic Thermometer\n</font><br>\n双金属温度计\n
Bimolecular Reaction	<font size=5>\nBimolecular Reaction\n</font><br>\n双分子反应\n
Binary Acid	<font size=5>\nBinary Acid\n</font><br>\n二元酸\n
Binary Alloy	<font size=5>\nBinary Alloy\n</font><br>\n二元合金\n
Binary Compound	<font size=5>\nBinary Compound\n</font><br>\n二元化合物\n
Binary Electrolyte	<font size=5>\nBinary Electrolyte\n</font><br>\n二元电解质\n
Binary Mixture	<font size=5>\nBinary Mixture\n</font><br>\n二元混合物\n
Binary Separation	<font size=5>\nBinary Separation\n</font><br>\n二元分离\n
Binary Solution	<font size=5>\nBinary Solution\n</font><br>\n二元溶液\n
Binary System	<font size=5>\nBinary System\n</font><br>\n二元体系\n
Binder	<font size=5>\nBinder\n</font><br>\n粘合剂\n
Binding Energy	<font size=5>\nBinding Energy\n</font><br>\n键能\n
Binding Material	<font size=5>\nBinding Material\n</font><br>\n粘合剂\n
Binding Protein	<font size=5>\nBinding Protein\n</font><br>\n结合蛋白质\n
Bingham Flow	<font size=5>\nBingham Flow\n</font><br>\n宾汉怜\n
Binocular Microscope	<font size=5>\nBinocular Microscope\n</font><br>\n双目显微镜\n
Binomial Distribution	<font size=5>\nBinomial Distribution\n</font><br>\n二项式分布\n
Binomial Theorem	<font size=5>\nBinomial Theorem\n</font><br>\n二项定理\n
Binuclear Complex	<font size=5>\nBinuclear Complex\n</font><br>\n双核络合物\n
Binuclear Metallic Complex Salt	<font size=5>\nBinuclear Metallic Complex Salt\n</font><br>\n双核金属络合物盐\n
Bioassay	<font size=5>\nBioassay\n</font><br>\n生物测定\n
Biocatalysis	<font size=5>\nBiocatalysis\n</font><br>\n生物催化\n
Biocatalyst	<font size=5>\nBiocatalyst\n</font><br>\n生物触媒\n
Biocatalyzer	<font size=5>\nBiocatalyzer\n</font><br>\n生物催化剂\n
Biochemical Analysis	<font size=5>\nBiochemical Analysis\n</font><br>\n生物化学分析\n
Biochemical Oxygen Demand	<font size=5>\nBiochemical Oxygen Demand\n</font><br>\n生化需氧量\n
Biochemical Reaction	<font size=5>\nBiochemical Reaction\n</font><br>\n生物化学反应\n
Biochemical Reactor	<font size=5>\nBiochemical Reactor\n</font><br>\n生化反应器\n
Biochemistry	<font size=5>\nBiochemistry\n</font><br>\n生物化学\n
Biocide	<font size=5>\nBiocide\n</font><br>\n杀虫剂\n
Biocleaner	<font size=5>\nBiocleaner\n</font><br>\n生物洗涤剂\n
Biocollochemistry	<font size=5>\nBiocollochemistry\n</font><br>\n生物胶体化学\n
Biocolloid	<font size=5>\nBiocolloid\n</font><br>\n生物胶体\n
Biocomputer	<font size=5>\nBiocomputer\n</font><br>\n生物计算机\n
Biocytin	<font size=5>\nBiocytin\n</font><br>\n生物胞素\n
Biocytinase	<font size=5>\nBiocytinase\n</font><br>\n生物胞素酶\n
Bioenergetics	<font size=5>\nBioenergetics\n</font><br>\n生物能学\n
Biogen	<font size=5>\nBiogen\n</font><br>\n酵母促生物原\n
Biogeochemistry	<font size=5>\nBiogeochemistry\n</font><br>\n生物地球化学\n
Biological Assay	<font size=5>\nBiological Assay\n</font><br>\n生物测定\n
Biological Ceramics	<font size=5>\nBiological Ceramics\n</font><br>\n生物陶瓷\n
Biological Chemistry	<font size=5>\nBiological Chemistry\n</font><br>\n生物化学\n
Biological Half Life	<font size=5>\nBiological Half Life\n</font><br>\n生物半衰期\n
Biological Microscope	<font size=5>\nBiological Microscope\n</font><br>\n生物显微镜\n
Biological Oxidation	<font size=5>\nBiological Oxidation\n</font><br>\n生物氧化\n
Biological Value	<font size=5>\nBiological Value\n</font><br>\n生物值\n
Bioluminescence	<font size=5>\nBioluminescence\n</font><br>\n生物性光\n
Biomass Energy	<font size=5>\nBiomass Energy\n</font><br>\n生物质能\n
Biophile Element	<font size=5>\nBiophile Element\n</font><br>\n亲生物元素\n
Biopolymer	<font size=5>\nBiopolymer\n</font><br>\n生物高聚物\n
Biopotency	<font size=5>\nBiopotency\n</font><br>\n生物效能\n
Biorheology	<font size=5>\nBiorheology\n</font><br>\n生物龄\n
Bios	<font size=5>\nBios\n</font><br>\n酵母促生物\n
Biose	<font size=5>\nBiose\n</font><br>\n乙糖\n
Biosensor	<font size=5>\nBiosensor\n</font><br>\n生物传感器生物感测器\n
Biosurfactant	<font size=5>\nBiosurfactant\n</font><br>\n生物表面活性剂\n
Biosynthesis	<font size=5>\nBiosynthesis\n</font><br>\n生物合成\n
Biosynthesis Of Fatty Acids	<font size=5>\nBiosynthesis Of Fatty Acids\n</font><br>\n脂肪酸生物合成\n
Biothermochemistry	<font size=5>\nBiothermochemistry\n</font><br>\n生物热化学\n
Biotin	<font size=5>\nBiotin\n</font><br>\n生物素\n
Biotin Complex Of Yeast	<font size=5>\nBiotin Complex Of Yeast\n</font><br>\n酵母生物素络合物\n
Biotite	<font size=5>\nBiotite\n</font><br>\n黑云母\n
Biphenyl	<font size=5>\nBiphenyl\n</font><br>\n联二苯\n
Bipyridyl	<font size=5>\nBipyridyl\n</font><br>\n联吡啶\n
Biradical	<font size=5>\nBiradical\n</font><br>\n双基\n
Birefringence	<font size=5>\nBirefringence\n</font><br>\n双折射\n
Birotation	<font size=5>\nBirotation\n</font><br>\n双旋光\n
Biscuit Firing	<font size=5>\nBiscuit Firing\n</font><br>\n素烧\n
Bisilicate	<font size=5>\nBisilicate\n</font><br>\n二硅酸盐\n
Bismarck Brown	<font size=5>\nBismarck Brown\n</font><br>\n俾斯麦棕\n
Bismuth	<font size=5>\nBismuth\n</font><br>\n铋\n
Bismuthate	<font size=5>\nBismuthate\n</font><br>\n铋酸盐\n
Bismuth Chloride	<font size=5>\nBismuth Chloride\n</font><br>\n氯化铋\n
Bismuth Compound	<font size=5>\nBismuth Compound\n</font><br>\n铋化合物\n
Bismuth Glance	<font size=5>\nBismuth Glance\n</font><br>\n辉铋矿\n
Bismuth Hydroxide	<font size=5>\nBismuth Hydroxide\n</font><br>\n水氧化铋\n
Bismuthic Acid	<font size=5>\nBismuthic Acid\n</font><br>\n铋酸\n
Bismuthine	<font size=5>\nBismuthine\n</font><br>\n辉铋矿\n
Bismuthinite	<font size=5>\nBismuthinite\n</font><br>\n辉铋矿\n
Bismuth Iodide	<font size=5>\nBismuth Iodide\n</font><br>\n碘化铋\n
Bismuth Nitrate	<font size=5>\nBismuth Nitrate\n</font><br>\n硝酸铋\n
Bismuth Ochre	<font size=5>\nBismuth Ochre\n</font><br>\n糸矿\n
Bismuth Oxide	<font size=5>\nBismuth Oxide\n</font><br>\n氧化铋\n
Bismuth Oxychloride	<font size=5>\nBismuth Oxychloride\n</font><br>\n氯氧化铋\n
Bismuth Subcarbonate	<font size=5>\nBismuth Subcarbonate\n</font><br>\n碱式碳酸铋\n
Bismuth Sulfate	<font size=5>\nBismuth Sulfate\n</font><br>\n硫酸铋\n
Bismuth Sulfide	<font size=5>\nBismuth Sulfide\n</font><br>\n硫化铋\n
Bismuth Telluride	<font size=5>\nBismuth Telluride\n</font><br>\n碲化铋\n
Bismutite	<font size=5>\nBismutite\n</font><br>\n泡铋矿\n
Bistable System	<font size=5>\nBistable System\n</font><br>\n双稳态系\n
Bisulfate	<font size=5>\nBisulfate\n</font><br>\n硫酸氢盐\n
Bisulfite	<font size=5>\nBisulfite\n</font><br>\n亚硫酸氢盐\n
Bitartrate	<font size=5>\nBitartrate\n</font><br>\n酒石酸氢盐\n
Bithionol	<font size=5>\nBithionol\n</font><br>\n硫双二氯酚\n
Bitter Almond Oil	<font size=5>\nBitter Almond Oil\n</font><br>\n苦杏仁油\n
Bitter Almond Water	<font size=5>\nBitter Almond Water\n</font><br>\n苦杏仁水\n
Bittern	<font size=5>\nBittern\n</font><br>\n盐卤\n
Bitter Salt	<font size=5>\nBitter Salt\n</font><br>\n泻盐\n
Bitter Spar	<font size=5>\nBitter Spar\n</font><br>\n白云石\n
Bitumen	<font size=5>\nBitumen\n</font><br>\n地沥青\n
Bitumen Emulsion	<font size=5>\nBitumen Emulsion\n</font><br>\n沥青乳浊液\n
Bituminization	<font size=5>\nBituminization\n</font><br>\n沥青化\n
Bituminous Coal	<font size=5>\nBituminous Coal\n</font><br>\n烟煤\n
Bituminous Coating	<font size=5>\nBituminous Coating\n</font><br>\n沥青涂层\n
Bituminous Varnish	<font size=5>\nBituminous Varnish\n</font><br>\n沥青清漆\n
Biuranate	<font size=5>\nBiuranate\n</font><br>\n重铀酸盐\n
Biuret	<font size=5>\nBiuret\n</font><br>\n缩二脲\n
Biuret Reaction	<font size=5>\nBiuret Reaction\n</font><br>\n缩二脲反应\n
Bivalence	<font size=5>\nBivalence\n</font><br>\n二价\n
Bivalent	<font size=5>\nBivalent\n</font><br>\n二价的\n
Bixin	<font size=5>\nBixin\n</font><br>\n胭脂嗜\n
Blaching Liquor	<font size=5>\nBlaching Liquor\n</font><br>\n漂白液\n
Black Amber	<font size=5>\nBlack Amber\n</font><br>\n黑琥珀\n
Black Ash	<font size=5>\nBlack Ash\n</font><br>\n黑灰\n
Black Ash Furnace	<font size=5>\nBlack Ash Furnace\n</font><br>\n黑灰炉\n
Black Body	<font size=5>\nBlack Body\n</font><br>\n黑体\n
Black Body Radiation	<font size=5>\nBlack Body Radiation\n</font><br>\n黑体辐射\n
Black Body Temperature	<font size=5>\nBlack Body Temperature\n</font><br>\n黑体温度\n
Black Copper	<font size=5>\nBlack Copper\n</font><br>\n粗铜\n
Black Damp	<font size=5>\nBlack Damp\n</font><br>\n窒息气\n
Black Diamond	<font size=5>\nBlack Diamond\n</font><br>\n黑金刚石\n
Black Jack	<font size=5>\nBlack Jack\n</font><br>\n闪锌矿\n
Black Liquor	<font size=5>\nBlack Liquor\n</font><br>\n黑液\n
Black Phosphorus	<font size=5>\nBlack Phosphorus\n</font><br>\n黑磷\n
Black Pigment	<font size=5>\nBlack Pigment\n</font><br>\n黑色颜料\n
Black Powder	<font size=5>\nBlack Powder\n</font><br>\n黑火药\n
Black Power	<font size=5>\nBlack Power\n</font><br>\n黑色火药\n
Blaine Permeability Method	<font size=5>\nBlaine Permeability Method\n</font><br>\n布莱因比面决定法\n
Blanc Fixe	<font size=5>\nBlanc Fixe\n</font><br>\n硫酸钡粉\n
Blank Test	<font size=5>\nBlank Test\n</font><br>\n空白试验\n
Blast Furnace	<font size=5>\nBlast Furnace\n</font><br>\n高炉\n
Blast Furnace Cement	<font size=5>\nBlast Furnace Cement\n</font><br>\n高炉水泥\n
Blast Furnace Dust	<font size=5>\nBlast Furnace Dust\n</font><br>\n高炉灰\n
Blast Furnace Gas	<font size=5>\nBlast Furnace Gas\n</font><br>\n高炉煤气\n
Blast Furnace Slag	<font size=5>\nBlast Furnace Slag\n</font><br>\n高炉矿渣\n
Blasting Agent	<font size=5>\nBlasting Agent\n</font><br>\n爆炸剂\n
Blasting Cap	<font size=5>\nBlasting Cap\n</font><br>\n雷管\n
Blasting Explosive	<font size=5>\nBlasting Explosive\n</font><br>\n爆炸剂\n
Blasting Fuse	<font size=5>\nBlasting Fuse\n</font><br>\n导火线\n
Blasting Gelatine	<font size=5>\nBlasting Gelatine\n</font><br>\n炸胶\n
Blaze	<font size=5>\nBlaze\n</font><br>\n火焰\n
Bleach	<font size=5>\nBleach\n</font><br>\n漂白\n
Bleach Degree	<font size=5>\nBleach Degree\n</font><br>\n漂白度\n
Bleaching Agent	<font size=5>\nBleaching Agent\n</font><br>\n漂白剂\n
Bleaching Clay	<font size=5>\nBleaching Clay\n</font><br>\n漂白土\n
Bleaching Earth	<font size=5>\nBleaching Earth\n</font><br>\n漂白土\n
Bleaching Powder	<font size=5>\nBleaching Powder\n</font><br>\n漂白粉\n
Bleaching Solution	<font size=5>\nBleaching Solution\n</font><br>\n漂白液\n
Blende	<font size=5>\nBlende\n</font><br>\n闪锌矿\n
Blender	<font size=5>\nBlender\n</font><br>\n混合机\n
Blending Naphtha	<font size=5>\nBlending Naphtha\n</font><br>\n迪石脑油\n
Blister	<font size=5>\nBlister\n</font><br>\n泡\n
Blister Copper	<font size=5>\nBlister Copper\n</font><br>\n粗铜\n
Blistering	<font size=5>\nBlistering\n</font><br>\n起泡\n
Block Copolymer	<font size=5>\nBlock Copolymer\n</font><br>\n嵌段共聚物\n
Block Diagram	<font size=5>\nBlock Diagram\n</font><br>\n方框图\n
Blocked Operation	<font size=5>\nBlocked Operation\n</font><br>\n轮换操作\n
Block Polymerization	<font size=5>\nBlock Polymerization\n</font><br>\n本体聚合\n
Blood Albumin	<font size=5>\nBlood Albumin\n</font><br>\n血白朊\n
Blood Charcoal	<font size=5>\nBlood Charcoal\n</font><br>\n血炭\n
Blood Coal	<font size=5>\nBlood Coal\n</font><br>\n血炭\n
Blood Group	<font size=5>\nBlood Group\n</font><br>\n血型\n
Blood Plasma	<font size=5>\nBlood Plasma\n</font><br>\n血浆\n
Blood Serum	<font size=5>\nBlood Serum\n</font><br>\n血清\n
Blood Sugar	<font size=5>\nBlood Sugar\n</font><br>\n血糖\n
Blotting Paper	<font size=5>\nBlotting Paper\n</font><br>\n吸墨纸\n
Blowback	<font size=5>\nBlowback\n</font><br>\n逆吹\n
Blowdown	<font size=5>\nBlowdown\n</font><br>\n吹除\n
Blower	<font size=5>\nBlower\n</font><br>\n鼓风机\n
Blowing Agent	<font size=5>\nBlowing Agent\n</font><br>\n发泡剂\n
Blowpipe	<font size=5>\nBlowpipe\n</font><br>\n吹管\n
Blowpipe Analysis	<font size=5>\nBlowpipe Analysis\n</font><br>\n吹管分析\n
Blowpipe Assay	<font size=5>\nBlowpipe Assay\n</font><br>\n吹管分析\n
Blowpipe Reaction Analysis	<font size=5>\nBlowpipe Reaction Analysis\n</font><br>\n吹管反应分析\n
Blowpipe Test	<font size=5>\nBlowpipe Test\n</font><br>\n吹管试验\n
Blue Glass	<font size=5>\nBlue Glass\n</font><br>\n蓝玻璃\n
Blue John	<font size=5>\nBlue John\n</font><br>\n蓝荧石\n
Blue Pigment	<font size=5>\nBlue Pigment\n</font><br>\n蓝色颜料\n
Blue Powder	<font size=5>\nBlue Powder\n</font><br>\n锌粉\n
Blue Print	<font size=5>\nBlue Print\n</font><br>\n蓝晒图\n
Blueprint Machine	<font size=5>\nBlueprint Machine\n</font><br>\n晒图机\n
Blue Print Paper	<font size=5>\nBlue Print Paper\n</font><br>\n蓝图纸\n
Blue Shift	<font size=5>\nBlue Shift\n</font><br>\n蓝移位\n
Blue Spar	<font size=5>\nBlue Spar\n</font><br>\n天蓝石\n
Blue Water Gas	<font size=5>\nBlue Water Gas\n</font><br>\n蓝水煤气\n
Bluing	<font size=5>\nBluing\n</font><br>\n发蓝处理\n
Blushing	<font size=5>\nBlushing\n</font><br>\n雾浊\n
Board	<font size=5>\nBoard\n</font><br>\n纸板\n
Boat	<font size=5>\nBoat\n</font><br>\n蒸发皿\n
Boat Conformation	<font size=5>\nBoat Conformation\n</font><br>\n船式构象\n
Body Centered Cubic Lattice	<font size=5>\nBody Centered Cubic Lattice\n</font><br>\n体心立方晶格\n
Body Centered Cubic Structure	<font size=5>\nBody Centered Cubic Structure\n</font><br>\n体心立方结构\n
Body Centered Lattice	<font size=5>\nBody Centered Lattice\n</font><br>\n体心晶格\n
Boehmite	<font size=5>\nBoehmite\n</font><br>\n伯姆石\n
Bog Iron Ore	<font size=5>\nBog Iron Ore\n</font><br>\n沼铁矿\n
Bohr Radius	<font size=5>\nBohr Radius\n</font><br>\n玻尔半径\n
Bohr's Atomic Model	<font size=5>\nBohr's Atomic Model\n</font><br>\n玻尔原子模型\n
Bohr's Theory	<font size=5>\nBohr's Theory\n</font><br>\n玻尔理论\n
Boiled Oil	<font size=5>\nBoiled Oil\n</font><br>\n沸炼油\n
Boiler	<font size=5>\nBoiler\n</font><br>\n锅炉\n
Boiler Cleaning	<font size=5>\nBoiler Cleaning\n</font><br>\n锅炉清洗\n
Boiler Compound	<font size=5>\nBoiler Compound\n</font><br>\n锅炉清洁剂\n
Boiler Incrustation	<font size=5>\nBoiler Incrustation\n</font><br>\n锅炉垢\n
Boiler Scale	<font size=5>\nBoiler Scale\n</font><br>\n锅炉垢\n
Boiling	<font size=5>\nBoiling\n</font><br>\n沸腾\n
Boiling Apparatus	<font size=5>\nBoiling Apparatus\n</font><br>\n蒸煮器\n
Boiling Heat	<font size=5>\nBoiling Heat\n</font><br>\n蒸发热\n
Boiling Point	<font size=5>\nBoiling Point\n</font><br>\n沸点\n
Boiling Point Curve	<font size=5>\nBoiling Point Curve\n</font><br>\n沸点线\n
Boiling Point Depression	<font size=5>\nBoiling Point Depression\n</font><br>\n沸点降低\n
Boiling Point Elevation	<font size=5>\nBoiling Point Elevation\n</font><br>\n沸点升高\n
Boiling Point Method	<font size=5>\nBoiling Point Method\n</font><br>\n沸点升高法\n
Boiling Range	<font size=5>\nBoiling Range\n</font><br>\n沸腾范围\n
Boiling Stone	<font size=5>\nBoiling Stone\n</font><br>\n沸腾石\n
Boiling Surface	<font size=5>\nBoiling Surface\n</font><br>\n沸腾面\n
Boiling Tube	<font size=5>\nBoiling Tube\n</font><br>\n沸腾管\n
Bolometer	<font size=5>\nBolometer\n</font><br>\n测辐射热器\n
